step_n,points
0,0
17,1
35,2
43,3
51,4
59,5
67,6
81,7
89,8
97,9
123,10
140,11
171,12
186,13
197,14
223,15
257,16
277,17
310,18
322,19
352,20
383,21
393,22
432,23
444,24
484,25
516,26
553,27
560,28
586,29
616,30
626,31
655,32
706,33
709,34
749,35
767,36
794,37
822,38
877,39
895,40
904,41
934,42
939,43
1002,44
1056,45
1058,46
1068,47
1122,48
1138,49
1145,50
1150,51
1166,52
1218,53
1233,54
1237,55
1249,56
1253,57
1272,58
1285,59
1321,60
1338,61
1372,62
1394,63
1418,64
1432,65
1460,66
1489,67
1497,68
1504,69
1507,70
1523,71
1542,72
1555,73
1577,74
1595,75
1613,76
1620,77
1624,78
1635,79
1649,80
1664,81
1669,82
1680,83
1686,84
1696,85
1699,86
1708,87
1716,88
1717,89
1719,90
1722,91
1725,92
1726,93
1729,94
1730,95
1731,96
