step_n	points
0	0
6	1
29	2
44	3
48	4
53	5
57	6
77	7
91	8
111	9
115	10
116	11
130	12
133	13
142	14
171	15
197	16
215	17
221	18
244	19
276	20
305	21
330	22
343	23
354	24
393	25
403	26
410	27
425	28
436	29
470	30
503	31
518	32
541	33
578	34
600	35
643	36
690	37
700	38
710	39
755	40
757	41
768	42
772	43
817	44
823	45
872	46
888	47
892	48
904	49
909	50
965	51
969	52
1024	53
1085	54
1100	55
1113	56
1121	57
1162	58
1209	59
1243	60
1254	61
1273	62
1291	63
1296	64
1297	65
1310	66
1331	67
1345	68
1359	69
1382	70
1393	71
1411	72
1427	73
1447	74
1466	75
1485	76
1494	77
1507	78
1520	79
1529	80
1535	81
1544	82
1553	83
1554	84
1562	85
1569	86
1573	87
1574	88
1582	89
1588	90
1590	91
1594	92
1597	93
1598	94
1600	95
1700	96
